time,lux_level
2022-05-17 00:03:59,0.0
2022-05-17 00:06:29,0.0
2022-05-17 00:13:59,0.0
2022-05-17 00:21:29,0.0
2022-05-17 00:26:29,0.0
2022-05-17 00:28:59,0.0
2022-05-17 00:36:29,0.0
2022-05-17 00:41:29,0.0
2022-05-17 00:43:59,0.0
2022-05-17 00:48:59,0.0
2022-05-17 00:56:29,0.0
2022-05-17 01:03:59,0.0
2022-05-17 01:11:29,0.0
2022-05-17 01:18:59,0.0
2022-05-17 01:23:59,0.0
2022-05-17 01:26:29,0.0
2022-05-17 01:31:29,0.0
2022-05-17 01:33:59,0.0
2022-05-17 01:38:59,0.0
2022-05-17 01:41:29,0.0
2022-05-17 01:48:59,0.0
2022-05-17 01:53:59,0.0
2022-05-17 01:56:29,0.0
2022-05-17 02:01:29,0.0
2022-05-17 02:03:59,0.0
2022-05-17 02:08:59,0.0
2022-05-17 02:16:29,0.0
2022-05-17 02:18:59,0.0
2022-05-17 02:23:59,0.0
2022-05-17 02:26:29,0.0
2022-05-17 02:33:59,0.0
2022-05-17 02:36:29,0.0
2022-05-17 02:41:29,0.0
2022-05-17 02:43:59,0.0
2022-05-17 02:48:59,0.0
2022-05-17 02:51:29,0.0
2022-05-17 02:56:29,0.0
2022-05-17 03:01:29,0.0
2022-05-17 03:03:59,0.0
2022-05-17 03:11:29,0.0
2022-05-17 03:16:29,0.0
2022-05-17 03:23:59,0.0
2022-05-17 03:31:29,0.0
2022-05-17 03:38:59,0.0
2022-05-17 03:46:29,0.0
2022-05-17 03:51:29,0.0
2022-05-17 03:56:29,0.0
2022-05-17 04:01:29,0.0
2022-05-17 04:06:29,0.0
2022-05-17 04:08:59,0.0
2022-05-17 04:13:59,0.0
2022-05-17 04:18:59,0.0
2022-05-17 04:21:29,0.0
2022-05-17 04:26:29,0.0
2022-05-17 04:31:29,0.0
2022-05-17 04:43:59,0.0
2022-05-17 04:48:59,0.0
2022-05-17 05:01:29,7.92
2022-05-17 05:06:29,7.5
2022-05-17 05:08:59,7.92
2022-05-17 05:14:00,7.92
2022-05-17 05:19:00,7.92
2022-05-17 05:24:00,7.92
2022-05-17 05:26:30,7.92
2022-05-17 05:31:30,7.92
2022-05-17 05:36:30,7.92
2022-05-17 05:43:59,7.92
2022-05-17 05:49:00,7.92
2022-05-17 05:54:00,7.92
2022-05-17 05:59:00,8.33
2022-05-17 06:04:00,8.33
2022-05-17 06:11:30,9.17
2022-05-17 06:16:30,9.17
2022-05-17 06:21:30,9.17
2022-05-17 06:23:59,9.17
2022-05-17 06:29:00,9.17
2022-05-17 06:36:30,8.75
2022-05-17 06:39:01,8.75
2022-05-17 06:41:29,8.75
2022-05-17 06:46:30,8.75
2022-05-17 06:49:00,9.17
2022-05-17 06:54:00,9.17
2022-05-17 06:59:00,354.17
2022-05-17 07:04:00,345.83
2022-05-17 07:11:30,340.0
2022-05-17 07:16:30,338.75
2022-05-17 07:19:00,337.5
2022-05-17 07:24:00,336.25
2022-05-17 07:29:00,335.0
2022-05-17 07:36:30,335.83
2022-05-17 07:41:30,336.25
2022-05-17 07:46:30,335.83
2022-05-17 07:54:00,335.83
2022-05-17 07:56:30,336.25
2022-05-17 08:01:30,335.42
2022-05-17 08:09:00,334.58
2022-05-17 08:16:30,335.42
2022-05-17 08:21:30,343.75
2022-05-17 08:26:30,350.42
2022-05-17 08:34:00,349.58
2022-05-17 08:39:00,352.92
2022-05-17 08:41:30,350.42
2022-05-17 08:46:30,352.08
2022-05-17 08:54:00,351.25
2022-05-17 08:59:00,351.25
2022-05-17 09:04:01,353.75
2022-05-17 09:06:30,351.67
2022-05-17 09:14:00,350.0
2022-05-17 09:21:30,341.25
2022-05-17 09:26:30,349.58
2022-05-17 09:31:30,343.75
2022-05-17 09:34:00,351.25
2022-05-17 09:39:00,352.08
2022-05-17 09:41:30,353.33
2022-05-17 09:49:00,356.25
2022-05-17 09:56:30,359.58
2022-05-17 10:04:00,358.33
2022-05-17 10:29:00,334.58
2022-05-17 10:34:00,338.75
2022-05-17 10:46:30,342.08
2022-05-17 10:51:30,342.08
2022-05-17 10:59:00,337.08
2022-05-17 11:06:30,333.75
2022-05-17 11:14:00,336.25
2022-05-17 11:19:00,339.58
2022-05-17 11:26:30,342.92
2022-05-17 11:31:30,335.0
2022-05-17 11:39:00,334.58
2022-05-17 11:44:00,338.33
2022-05-17 11:49:00,334.58
2022-05-17 11:51:30,335.83
2022-05-17 11:56:30,335.83
2022-05-17 12:04:00,341.67
2022-05-17 12:09:00,337.08
2022-05-17 12:14:00,338.75
2022-05-17 12:16:30,340.42
2022-05-17 12:19:00,337.08
2022-05-17 12:29:00,638.33
2022-05-17 12:41:30,238.33
2022-05-17 12:56:30,242.92
2022-05-17 12:59:00,443.33
2022-05-17 13:06:30,467.5
2022-05-17 13:09:00,462.92
2022-05-17 13:19:00,429.17
2022-05-17 13:21:30,427.5
2022-05-17 13:26:30,434.17
2022-05-17 13:31:30,418.75
2022-05-17 13:36:30,434.17
2022-05-17 13:44:00,435.0
2022-05-17 13:49:00,432.92
2022-05-17 13:54:00,428.75
2022-05-17 14:01:30,435.42
2022-05-17 14:09:00,436.67
2022-05-17 14:14:00,437.08
2022-05-17 14:19:00,431.67
2022-05-17 14:24:00,433.75
2022-05-17 14:26:30,429.58
2022-05-17 14:31:30,438.75
2022-05-17 14:39:00,429.58
2022-05-17 14:46:30,428.33
2022-05-17 14:49:00,428.75
2022-05-17 14:51:32,432.92
2022-05-17 14:54:00,431.67
2022-05-17 15:01:30,426.67
