time,pressure_level
2022-05-22 21:03:23,748.53
2022-05-22 21:05:53,748.6
2022-05-22 21:08:23,748.68
2022-05-22 21:10:53,748.72
2022-05-22 21:13:23,748.77
2022-05-22 21:15:53,748.86
2022-05-22 21:18:23,748.89
2022-05-22 21:20:53,748.87
2022-05-22 21:23:23,748.87
2022-05-22 21:28:23,748.75
2022-05-22 21:30:53,748.71
2022-05-22 21:33:23,748.73
2022-05-22 21:35:53,748.77
2022-05-22 21:38:23,748.74
2022-05-22 21:40:53,748.72
2022-05-22 21:43:23,748.67
2022-05-22 21:45:53,748.69
2022-05-22 21:48:23,748.8
2022-05-22 21:50:53,748.87
2022-05-22 21:53:23,748.84
2022-05-22 21:55:53,748.85
2022-05-22 21:58:23,748.79
2022-05-22 22:00:53,748.79
2022-05-22 22:03:23,748.79
2022-05-22 22:05:53,748.83
2022-05-22 22:08:23,748.87
2022-05-22 22:10:53,748.83
2022-05-22 22:13:23,748.78
2022-05-22 22:15:53,748.83
2022-05-22 22:18:23,748.87
2022-05-22 22:20:53,748.91
2022-05-22 22:23:23,748.98
2022-05-22 22:25:53,748.97
2022-05-22 22:28:23,748.94
2022-05-22 22:30:53,748.94
2022-05-22 22:33:23,749.05
2022-05-22 22:35:53,749.08
2022-05-22 22:38:23,749.14
2022-05-22 22:40:53,749.14
2022-05-22 22:43:23,749.16
2022-05-22 22:45:53,749.12
2022-05-22 22:48:23,749.06
2022-05-22 22:53:23,749.04
2022-05-22 22:55:53,749.06
2022-05-22 23:00:53,749.12
2022-05-22 23:05:53,749.12
2022-05-22 23:08:23,749.09
2022-05-22 23:10:53,749.14
2022-05-22 23:13:23,749.1
2022-05-22 23:15:53,749.06
2022-05-22 23:18:23,749.03
2022-05-22 23:20:53,749.05
2022-05-22 23:23:23,748.97
2022-05-22 23:25:53,748.94
2022-05-22 23:28:23,748.97
2022-05-22 23:30:53,748.96
2022-05-22 23:33:23,748.91
2022-05-22 23:35:53,748.88
2022-05-22 23:38:23,748.87
2022-05-22 23:43:23,748.84
2022-05-22 23:48:23,748.69
2022-05-22 23:50:53,748.67
2022-05-22 23:53:23,748.66
2022-05-22 23:55:53,748.62
2022-05-22 23:58:23,748.57
2022-05-23 00:00:53,748.59
2022-05-23 00:03:23,748.56
2022-05-23 00:05:53,748.57
2022-05-23 00:08:23,748.54
2022-05-23 00:10:53,748.52
2022-05-23 00:13:23,748.42
2022-05-23 00:15:53,748.41
2022-05-23 00:18:23,748.38
2022-05-23 00:20:53,748.38
2022-05-23 00:25:53,748.41
2022-05-23 00:33:23,748.29
2022-05-23 00:35:53,748.28
2022-05-23 00:38:23,748.29
2022-05-23 00:40:53,748.29
2022-05-23 00:43:23,748.28
2022-05-23 00:45:53,748.21
2022-05-23 00:48:23,748.2
2022-05-23 00:50:53,748.13
2022-05-23 00:53:23,748.09
2022-05-23 00:55:53,748.05
2022-05-23 00:58:23,747.98
2022-05-23 01:00:53,747.89
2022-05-23 01:03:23,747.85
