time,hum_level
2022-05-25 16:13:25,40.04
2022-05-25 16:15:55,40.19
2022-05-25 16:18:25,40.1
2022-05-25 16:20:55,40.0
2022-05-25 16:23:25,40.0
2022-05-25 16:28:25,39.77
2022-05-25 16:30:55,39.79
2022-05-25 16:33:25,39.82
2022-05-25 16:38:25,39.6
2022-05-25 16:40:55,39.64
2022-05-25 16:43:25,39.54
2022-05-25 16:45:55,39.58
2022-05-25 16:48:25,39.67
2022-05-25 16:50:55,39.88
2022-05-25 16:53:25,39.76
2022-05-25 16:55:55,39.75
2022-05-25 16:58:25,39.78
2022-05-25 17:00:55,39.69
2022-05-25 17:03:25,39.75
2022-05-25 17:05:55,39.68
2022-05-25 17:08:25,39.74
2022-05-25 17:10:55,39.65
2022-05-25 17:13:25,39.57
2022-05-25 17:15:55,39.59
2022-05-25 17:18:25,39.7
2022-05-25 17:20:55,39.77
2022-05-25 17:23:25,39.73
2022-05-25 17:25:55,39.7
2022-05-25 17:30:55,39.67
2022-05-25 17:33:25,39.63
2022-05-25 17:35:55,39.72
2022-05-25 17:38:25,39.73
2022-05-25 17:40:55,39.82
2022-05-25 17:43:25,39.93
2022-05-25 17:45:55,39.99
2022-05-25 17:48:25,39.98
2022-05-25 17:53:25,40.0
2022-05-25 17:58:25,40.26
2022-05-25 18:00:55,40.36
2022-05-25 18:03:25,40.44
2022-05-25 18:05:55,40.52
2022-05-25 18:08:25,40.52
2022-05-25 18:10:55,40.54
2022-05-25 18:13:25,40.6
2022-05-25 18:15:55,40.66
2022-05-25 18:18:25,40.74
2022-05-25 18:20:55,40.91
2022-05-25 18:23:25,40.95
2022-05-25 18:25:55,41.01
2022-05-25 18:28:25,41.13
2022-05-25 18:30:55,41.5
2022-05-25 18:33:25,41.93
2022-05-25 18:35:55,42.04
2022-05-25 18:38:25,42.09
2022-05-25 18:40:55,42.13
2022-05-25 18:43:25,42.13
2022-05-25 18:45:55,42.23
2022-05-25 18:48:25,42.17
2022-05-25 18:50:55,42.19
2022-05-25 18:53:25,42.2
2022-05-25 18:55:55,42.17
2022-05-25 19:00:55,42.27
2022-05-25 19:03:25,42.2
2022-05-25 19:05:55,42.17
2022-05-25 19:08:25,42.16
2022-05-25 19:10:55,42.12
2022-05-25 19:13:25,42.1
2022-05-25 19:15:55,42.03
2022-05-25 19:18:25,42.01
2022-05-25 19:20:55,42.05
2022-05-25 19:23:25,42.04
2022-05-25 19:28:25,41.99
2022-05-25 19:30:55,41.98
2022-05-25 19:33:25,41.95
2022-05-25 19:35:55,41.94
2022-05-25 19:38:25,42.16
2022-05-25 19:40:55,42.04
2022-05-25 19:43:25,42.03
2022-05-25 19:45:55,42.05
2022-05-25 19:48:25,42.1
2022-05-25 19:50:55,42.12
2022-05-25 19:55:55,42.07
2022-05-25 19:58:25,42.12
2022-05-25 20:00:55,42.16
2022-05-25 20:03:25,42.12
2022-05-25 20:05:55,42.16
2022-05-25 20:08:25,42.22
2022-05-25 20:10:55,42.28
2022-05-25 20:13:25,42.36
2022-05-25 20:15:55,42.38
2022-05-25 20:18:25,42.38
2022-05-25 20:23:25,42.32
2022-05-25 20:25:55,42.34
2022-05-25 20:30:55,42.31
2022-05-25 20:33:25,42.38
2022-05-25 20:35:55,42.39
2022-05-25 20:38:25,42.43
2022-05-25 20:40:55,42.46
2022-05-25 20:43:25,42.48
2022-05-25 20:45:55,42.72
2022-05-25 20:48:25,42.69
2022-05-25 20:50:55,42.62
2022-05-25 20:53:25,42.62
2022-05-25 20:58:25,42.59
2022-05-25 21:00:55,42.59
2022-05-25 21:03:25,42.56
2022-05-25 21:05:55,42.6
